文件系统        容量  已用  可用 已用% 挂载点
/dev/sda1       109G  4.2G  100G    5% /
proc               0     0     0     - /proc
sysfs              0     0     0     - /sys
none            4.0K     0  4.0K    0% /sys/fs/cgroup
none               0     0     0     - /sys/fs/fuse/connections
none               0     0     0     - /sys/kernel/debug
none               0     0     0     - /sys/kernel/security
udev            491M  4.0K  491M    1% /dev
devpts             0     0     0     - /dev/pts
tmpfs           101M  1.1M  100M    2% /run
none            5.0M     0  5.0M    0% /run/lock
none            501M  156K  501M    1% /run/shm
none            100M   52K  100M    1% /run/user
none               0     0     0     - /sys/fs/pstore
binfmt_misc        0     0     0     - /proc/sys/fs/binfmt_misc
systemd            0     0     0     - /sys/fs/cgroup/systemd
gvfsd-fuse         0     0     0     - /run/user/1000/gvfs
